@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute eye-model numeric
@attribute region-detector {0,1,2,3,4}

@data
110,'2018/02/16 20:34:27:939',3,0,0,?,?
111,'2018/02/16 20:34:28:440',3,0,0,?,?
112,'2018/02/16 20:34:28:941',3,0,0,?,?
113,'2018/02/16 20:34:29:441',3,0,0,?,?
114,'2018/02/16 20:34:29:942',3,0,0,?,?
115,'2018/02/16 20:34:30:442',3,0,0,?,?
116,'2018/02/16 20:34:30:943',3,0,0,?,?
117,'2018/02/16 20:34:31:443',3,0,0,?,?
118,'2018/02/16 20:34:42:972',4,0,0,?,?
119,'2018/02/16 20:34:43:476',4,0,0,?,?
120,'2018/02/16 20:34:43:977',4,0,0,?,?
121,'2018/02/16 20:34:44:480',4,0,0,?,?
122,'2018/02/16 20:34:44:980',4,0,0,?,?
123,'2018/02/16 20:34:45:481',4,0,0,?,?
124,'2018/02/16 20:34:45:982',4,0,0,?,?
125,'2018/02/16 20:34:46:483',4,0,0,?,?
126,'2018/02/16 20:34:46:983',4,0,0,?,?
127,'2018/02/16 20:34:47:484',4,0,0,?,?
128,'2018/02/16 20:34:47:986',4,0,0,?,?
129,'2018/02/16 20:34:48:489',4,0,0,?,?
130,'2018/02/16 20:34:48:990',4,0,0,?,?
131,'2018/02/16 20:34:49:491',4,0,0,?,?
132,'2018/02/16 20:34:49:991',4,0,0,?,?
133,'2018/02/16 20:34:50:491',4,0,0,?,?
134,'2018/02/16 20:34:50:993',4,0,0,?,?
135,'2018/02/16 20:34:51:494',4,0,0,?,?
136,'2018/02/16 20:34:51:995',4,0,0,?,?
137,'2018/02/16 20:34:52:495',4,0,0,?,?
138,'2018/02/16 20:34:52:996',4,0,0,?,?
139,'2018/02/16 20:34:53:498',4,0,0,?,?
140,'2018/02/16 20:34:53:998',4,0,0,?,?
141,'2018/02/16 20:34:54:499',4,0,0,?,?
142,'2018/02/16 20:34:55:000',4,0,0,?,?
143,'2018/02/16 20:34:55:501',4,0,0,?,?
144,'2018/02/16 20:34:56:002',4,0,0,?,?
145,'2018/02/16 20:34:56:503',4,0,0,?,?
146,'2018/02/16 20:34:57:004',4,0,0,?,?
147,'2018/02/16 20:34:57:505',4,0,0,?,?
148,'2018/02/16 20:34:58:005',4,0,0,?,?
149,'2018/02/16 20:34:58:507',4,0,0,?,?
150,'2018/02/16 20:34:59:007',4,0,0,?,?
151,'2018/02/16 20:34:59:508',4,0,0,?,?
152,'2018/02/16 20:35:00:013',4,0,0,?,?
153,'2018/02/16 20:35:00:518',4,0,0,?,?
154,'2018/02/16 20:35:01:019',4,0,0,?,?
155,'2018/02/16 20:35:01:519',4,0,0,?,?
156,'2018/02/16 20:35:02:020',4,0,0,?,?
157,'2018/02/16 20:35:02:521',4,0,0,?,?
158,'2018/02/16 20:35:03:022',4,0,0,?,?
159,'2018/02/16 20:35:03:523',4,0,0,?,?
160,'2018/02/16 20:35:04:025',4,0,0,?,?
161,'2018/02/16 20:35:04:528',4,0,0,?,?
162,'2018/02/16 20:35:05:031',4,0,0,?,?
163,'2018/02/16 20:35:05:532',4,0,0,?,?
164,'2018/02/16 20:35:06:032',4,0,0,?,?
165,'2018/02/16 20:35:06:536',4,0,0,?,?
166,'2018/02/16 20:35:07:038',4,0,0,?,?
167,'2018/02/16 20:35:07:539',4,0,0,?,?
168,'2018/02/16 20:35:08:040',4,0,0,?,?
169,'2018/02/16 20:35:08:541',4,0,0,?,?
170,'2018/02/16 20:35:09:041',4,0,0,?,?
171,'2018/02/16 20:36:02:268',5,0,0,?,?
172,'2018/02/16 20:36:02:769',5,0,0,?,?
173,'2018/02/16 20:36:03:269',5,0,0,?,?
174,'2018/02/16 20:36:03:771',5,0,0,?,?
175,'2018/02/16 20:36:04:271',5,0,0,?,?
176,'2018/02/16 20:36:04:772',5,0,0,?,?
177,'2018/02/16 20:36:05:273',5,0,0,?,?
178,'2018/02/16 20:36:05:774',5,0,0,?,?
179,'2018/02/16 20:36:06:274',5,0,0,?,?
180,'2018/02/16 20:36:06:775',5,0,0,?,?
181,'2018/02/16 20:36:07:275',5,0,0,?,?
182,'2018/02/16 20:36:07:777',5,0,0,?,?
183,'2018/02/16 20:36:08:278',5,0,0,?,?
184,'2018/02/16 20:36:08:779',5,0,0,?,?
185,'2018/02/16 20:36:09:279',5,0,0,?,?
186,'2018/02/16 20:36:09:780',5,0,0,?,?
187,'2018/02/16 20:36:10:281',5,0,0,?,?
188,'2018/02/16 20:36:10:781',5,0,0,?,?
189,'2018/02/16 20:36:11:282',5,0,0,?,?
190,'2018/02/16 20:36:11:783',5,0,0,?,?
191,'2018/02/16 20:36:12:283',5,0,0,?,?
192,'2018/02/16 20:36:12:783',5,0,0,?,?
193,'2018/02/16 20:36:13:284',5,0,0,?,?
194,'2018/02/16 20:36:13:785',5,0,0,?,?
195,'2018/02/16 20:36:14:287',5,0,0,?,?
196,'2018/02/16 20:36:14:788',5,0,0,?,?
197,'2018/02/16 20:36:15:288',5,0,0,?,?
198,'2018/02/16 20:36:15:789',5,0,0,?,?
199,'2018/02/16 20:37:02:103',6,0,0,?,?
200,'2018/02/16 20:37:02:607',6,0,0,?,?
201,'2018/02/16 20:37:03:110',6,0,0,?,?
202,'2018/02/16 20:37:03:611',6,0,0,?,?
203,'2018/02/16 20:37:04:112',6,0,0,?,?
204,'2018/02/16 20:37:04:613',6,0,0,?,?
205,'2018/02/16 20:37:05:114',6,0,0,?,?
206,'2018/02/16 20:37:05:618',6,0,0,?,?
207,'2018/02/16 20:37:06:120',6,0,0,?,?
208,'2018/02/16 20:37:06:621',6,0,0,?,?
209,'2018/02/16 20:37:07:121',6,0,0,?,?
210,'2018/02/16 20:37:07:621',6,0,0,?,?
211,'2018/02/16 20:37:08:122',6,0,0,?,?
212,'2018/02/16 20:37:08:623',6,0,0,?,?
213,'2018/02/16 20:37:09:123',6,0,0,?,?
214,'2018/02/16 20:37:09:624',6,0,0,?,?
215,'2018/02/16 20:37:10:126',6,0,0,?,?
216,'2018/02/16 20:37:10:627',6,0,0,?,?
217,'2018/02/16 20:37:11:129',6,0,0,?,?
218,'2018/02/16 20:37:11:629',6,0,0,?,?
219,'2018/02/16 20:37:12:130',6,0,0,?,?
220,'2018/02/16 20:37:12:631',6,0,0,?,?
221,'2018/02/16 20:37:13:132',6,0,0,?,?
222,'2018/02/16 20:37:13:632',6,0,0,?,?
223,'2018/02/16 20:37:14:133',6,0,0,?,?
224,'2018/02/16 20:37:14:635',6,0,0,?,?
225,'2018/02/16 20:37:15:136',6,0,0,?,?
226,'2018/02/16 20:37:15:636',6,0,0,?,?
227,'2018/02/16 20:37:16:137',6,0,0,?,?
228,'2018/02/16 20:37:16:638',6,0,0,?,?
229,'2018/02/16 20:37:17:138',6,0,0,?,?
230,'2018/02/16 20:37:17:639',6,0,0,?,?
231,'2018/02/16 20:37:18:141',6,0,0,?,?
232,'2018/02/16 20:37:22:653',7,0,0,?,?
233,'2018/02/16 20:37:23:155',7,0,0,?,?
234,'2018/02/16 20:37:23:656',7,0,0,?,?
235,'2018/02/16 20:37:24:164',7,0,0,?,?
236,'2018/02/16 20:37:24:664',7,0,0,?,?
237,'2018/02/16 20:37:25:165',7,0,0,?,?
238,'2018/02/16 20:37:25:666',7,0,0,?,?
239,'2018/02/16 20:37:26:167',7,0,0,?,?
240,'2018/02/16 20:37:26:668',7,0,0,?,?
241,'2018/02/16 20:37:27:169',7,0,0,?,?
242,'2018/02/16 20:37:27:672',7,0,0,?,?
243,'2018/02/16 20:37:28:180',7,0,0,?,?
244,'2018/02/16 20:37:28:682',7,0,0,?,?
245,'2018/02/16 20:37:29:182',7,0,0,?,?
246,'2018/02/16 20:37:29:683',7,0,0,?,?
247,'2018/02/16 20:37:30:184',7,0,0,?,?
248,'2018/02/16 20:37:30:684',7,0,0,?,?
249,'2018/02/16 20:37:31:195',7,0,0,?,?
250,'2018/02/16 20:37:31:699',7,0,0,?,?
251,'2018/02/16 20:37:32:200',7,0,0,?,?
252,'2018/02/16 21:25:48:900',8,0,0,?,?
253,'2018/02/16 21:25:49:400',8,0,0,?,?
254,'2018/02/16 21:25:49:901',8,0,0,?,?
255,'2018/02/16 21:25:50:402',8,0,0,?,?
256,'2018/02/16 21:25:50:903',8,0,0,?,?
257,'2018/02/16 21:25:51:403',8,0,0,?,?
258,'2018/02/16 21:25:51:904',8,0,0,?,?
259,'2018/02/16 21:25:52:406',8,0,0,?,?
260,'2018/02/16 21:25:52:906',8,0,0,?,?
261,'2018/02/16 21:25:53:407',8,0,0,?,?
262,'2018/02/16 21:25:53:907',8,0,0,?,?
263,'2018/02/16 21:25:54:408',8,0,0,?,?
264,'2018/02/16 21:25:54:909',8,0,0,?,?
265,'2018/02/16 21:25:55:409',8,0,0,?,?
266,'2018/02/16 21:25:55:910',8,0,0,?,?
267,'2018/02/16 21:25:56:411',8,0,0,?,?
268,'2018/02/16 21:25:56:914',8,0,0,?,?
269,'2018/02/16 21:25:57:414',8,0,0,?,?
270,'2018/02/16 21:25:57:915',8,0,0,?,?
271,'2018/02/16 21:25:58:416',8,0,0,?,?
272,'2018/02/16 21:25:58:916',8,0,0,?,?
273,'2018/02/16 21:25:59:417',8,0,0,?,?
274,'2018/02/16 21:25:59:917',8,0,0,?,?
275,'2018/02/16 21:26:00:419',8,0,0,?,?
276,'2018/02/16 21:26:00:919',8,0,0,?,?
277,'2018/02/16 21:26:01:427',8,0,0,?,?
278,'2018/02/16 21:26:01:927',8,0,0,?,?
279,'2018/02/16 21:26:02:427',8,0,0,?,?
280,'2018/02/16 21:26:02:928',8,0,0,?,?
281,'2018/02/16 21:26:03:429',8,0,0,?,?
282,'2018/02/16 21:26:03:930',8,0,0,?,?
283,'2018/02/16 21:26:04:432',8,0,0,?,?
284,'2018/02/16 21:26:04:932',8,0,0,?,?
285,'2018/02/16 21:26:05:434',8,0,0,?,?
286,'2018/02/16 21:26:05:934',8,0,0,?,?
287,'2018/02/16 21:26:06:436',8,0,0,?,?
288,'2018/02/16 21:26:06:936',8,0,0,?,?
289,'2018/02/16 21:26:07:438',8,0,0,?,?
290,'2018/02/16 21:26:07:939',8,0,0,?,?
291,'2018/02/16 21:26:08:441',8,0,0,?,?
292,'2018/02/16 21:26:08:941',8,0,0,?,?
293,'2018/02/16 21:26:09:442',8,0,0,?,?
294,'2018/02/16 21:26:09:943',8,0,0,?,?
295,'2018/02/16 21:26:10:443',8,0,0,?,?
296,'2018/02/16 21:26:10:944',8,0,0,?,?
297,'2018/02/16 21:26:11:445',8,0,0,?,?
298,'2018/02/16 21:26:11:945',8,0,0,?,?
299,'2018/02/16 21:26:12:448',8,0,0,?,?
300,'2018/02/16 21:26:12:949',8,0,0,?,?
301,'2018/02/16 21:26:13:450',8,0,0,?,?
302,'2018/02/16 21:26:13:950',8,0,0,?,?
303,'2018/02/16 21:26:14:451',8,0,0,?,?
