@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
483,'2018/02/09 15:26:55:736',11,597,269,?,?
484,'2018/02/09 15:26:55:752',11,597,269,?,?
485,'2018/02/09 15:26:55:769',11,597,269,?,?
486,'2018/02/09 15:26:55:785',11,597,269,?,?
487,'2018/02/09 15:26:55:802',11,597,269,?,?
488,'2018/02/09 15:26:55:818',11,597,269,?,?
489,'2018/02/09 15:26:55:836',11,597,269,?,?
490,'2018/02/09 15:26:55:852',11,597,269,?,?
491,'2018/02/09 15:26:55:868',11,597,269,?,?
492,'2018/02/09 15:26:55:885',11,597,269,?,?
493,'2018/02/09 15:26:55:901',11,597,269,?,?
494,'2018/02/09 15:26:55:918',11,597,269,?,?
495,'2018/02/09 15:26:55:935',11,597,269,?,?
496,'2018/02/09 15:26:55:952',11,597,269,?,?
497,'2018/02/09 15:26:55:968',11,597,269,?,?
498,'2018/02/09 15:26:55:984',11,597,269,?,?
499,'2018/02/09 15:26:56:001',11,597,269,?,?
500,'2018/02/09 15:26:56:018',11,597,269,?,?
501,'2018/02/09 15:26:56:038',11,597,269,?,?
502,'2018/02/09 15:26:56:050',11,597,269,?,?
503,'2018/02/09 15:26:56:071',11,597,269,?,?
504,'2018/02/09 15:27:12:315',12,324,437,?,?
505,'2018/02/09 15:27:12:331',12,324,437,?,?
506,'2018/02/09 15:27:12:347',12,324,437,?,?
507,'2018/02/09 15:27:12:364',12,324,437,?,?
508,'2018/02/09 15:27:12:380',12,324,437,?,?
509,'2018/02/09 15:27:12:398',12,324,437,?,?
510,'2018/02/09 15:27:12:413',12,324,437,?,?
511,'2018/02/09 15:27:12:430',12,324,437,?,?
512,'2018/02/09 15:27:12:448',12,324,437,?,?
513,'2018/02/09 15:27:12:464',12,324,437,?,?
514,'2018/02/09 15:27:12:481',12,324,437,?,?
515,'2018/02/09 15:27:12:498',12,324,437,?,?
516,'2018/02/09 15:27:12:514',12,324,437,?,?
517,'2018/02/09 15:27:12:531',12,324,437,?,?
518,'2018/02/09 15:27:12:547',12,324,437,?,?
519,'2018/02/09 15:27:12:563',12,324,437,?,?
520,'2018/02/09 15:27:12:580',12,324,437,?,?
521,'2018/02/09 15:27:12:598',12,324,437,?,?
522,'2018/02/09 15:27:12:613',12,324,437,?,?
523,'2018/02/09 15:27:12:630',12,324,437,?,?
524,'2018/02/09 15:27:12:648',12,324,437,?,?
525,'2018/02/09 15:27:12:664',12,324,437,?,?
526,'2018/02/09 15:27:12:680',12,324,437,?,?
527,'2018/02/09 15:27:12:698',12,324,437,?,?
528,'2018/02/09 15:27:12:714',12,324,437,?,?
529,'2018/02/09 15:27:12:731',12,324,437,?,?
530,'2018/02/09 15:27:12:747',12,324,437,?,?
531,'2018/02/09 15:27:12:763',12,324,437,?,?
532,'2018/02/09 15:27:12:780',12,324,437,?,?
533,'2018/02/09 15:27:12:797',12,324,437,?,?
534,'2018/02/09 15:27:12:814',12,324,437,?,?
535,'2018/02/09 15:27:12:830',12,324,437,?,?
536,'2018/02/09 15:27:12:848',12,324,437,?,?
537,'2018/02/09 15:27:12:864',12,324,437,?,?
538,'2018/02/09 15:27:12:881',12,324,437,?,?
539,'2018/02/09 15:27:12:899',12,324,437,?,?
540,'2018/02/09 15:27:12:915',12,324,437,?,?
541,'2018/02/09 15:27:12:931',12,324,437,?,?
542,'2018/02/09 15:27:12:947',12,324,437,?,?
543,'2018/02/09 15:27:12:964',12,324,437,?,?
544,'2018/02/09 15:27:12:980',12,324,437,?,?
545,'2018/02/09 15:27:12:998',12,324,437,?,?
546,'2018/02/09 15:27:13:014',12,324,437,?,?
547,'2018/02/09 15:27:13:030',12,324,437,?,?
548,'2018/02/09 15:27:13:047',12,324,437,?,?
549,'2018/02/09 15:27:13:063',12,324,437,?,?
550,'2018/02/09 15:27:13:080',12,324,437,?,?
551,'2018/02/09 15:27:23:446',13,315,106,?,?
552,'2018/02/09 15:27:23:462',13,315,106,?,?
553,'2018/02/09 15:27:23:478',13,315,106,?,?
554,'2018/02/09 15:27:23:497',13,315,106,?,?
555,'2018/02/09 15:27:23:513',13,315,106,?,?
556,'2018/02/09 15:27:23:530',13,315,106,?,?
557,'2018/02/09 15:27:23:545',13,315,106,?,?
558,'2018/02/09 15:27:23:562',13,315,106,?,?
559,'2018/02/09 15:27:23:578',13,315,106,?,?
560,'2018/02/09 15:27:23:597',13,315,106,?,?
561,'2018/02/09 15:27:23:612',13,315,106,?,?
562,'2018/02/09 15:27:23:630',13,315,106,?,?
563,'2018/02/09 15:27:23:645',13,315,106,?,?
564,'2018/02/09 15:27:23:662',13,315,106,?,?
565,'2018/02/09 15:27:23:678',13,315,106,?,?
566,'2018/02/09 15:27:23:697',13,315,106,?,?
567,'2018/02/09 15:27:23:713',13,315,106,?,?
568,'2018/02/09 15:27:23:730',13,315,106,?,?
569,'2018/02/09 15:27:23:745',13,315,106,?,?
570,'2018/02/09 15:27:23:762',13,315,106,?,?
571,'2018/02/09 15:27:23:777',13,315,106,?,?
572,'2018/02/09 15:27:23:796',13,315,106,?,?
573,'2018/02/09 15:27:23:811',13,315,106,?,?
574,'2018/02/09 15:27:23:830',13,315,106,?,?
575,'2018/02/09 15:27:23:846',13,315,106,?,?
576,'2018/02/09 15:27:23:863',13,315,106,?,?
577,'2018/02/09 15:27:23:879',13,315,106,?,?
578,'2018/02/09 15:27:23:897',13,315,106,?,?
579,'2018/02/09 15:27:23:912',13,315,106,?,?
580,'2018/02/09 15:27:23:930',13,315,106,?,?
581,'2018/02/09 15:27:23:945',13,315,106,?,?
582,'2018/02/09 15:27:23:963',13,315,106,?,?
583,'2018/02/09 15:27:23:979',13,315,106,?,?
584,'2018/02/09 15:27:23:996',13,315,106,?,?
585,'2018/02/09 15:31:03:408',14,57,418,-5.8,-5.6
586,'2018/02/09 15:31:03:424',14,57,418,-5.8,-5.6
587,'2018/02/09 15:31:03:440',14,57,418,-5.8,-5.6
588,'2018/02/09 15:31:03:457',14,57,418,-5.8,-5.6
589,'2018/02/09 15:31:03:475',14,57,418,-5.8,-5.6
590,'2018/02/09 15:31:03:490',14,57,418,-5.8,-5.6
591,'2018/02/09 15:31:03:507',14,57,418,-5.8,-5.6
592,'2018/02/09 15:31:03:522',14,57,418,-5.8,-5.6
593,'2018/02/09 15:31:03:542',14,57,418,-5.8,-5.6
594,'2018/02/09 15:31:03:558',14,57,418,-5.8,-5.6
595,'2018/02/09 15:31:03:575',14,57,418,-5.8,-5.6
596,'2018/02/09 15:31:03:590',14,57,418,-5.8,-5.6
597,'2018/02/09 15:31:03:607',14,57,418,-5.8,-5.6
598,'2018/02/09 15:31:03:624',14,57,418,-5.8,-5.6
599,'2018/02/09 15:31:03:641',14,57,418,-5.8,-5.6
600,'2018/02/09 15:31:03:657',14,57,418,-5.8,-5.6
601,'2018/02/09 15:31:03:674',14,57,418,-5.8,-5.6
602,'2018/02/09 15:31:03:690',14,57,418,-5.8,-5.6
603,'2018/02/09 15:31:03:708',14,57,418,-5.8,-5.6
604,'2018/02/09 15:31:03:724',14,57,418,-5.8,-5.6
605,'2018/02/09 15:31:03:740',14,57,418,-5.8,-5.6
606,'2018/02/09 15:31:03:757',14,57,418,-5.8,-5.6
607,'2018/02/09 15:31:03:774',14,57,418,-5.8,-5.6
608,'2018/02/09 15:31:03:791',14,57,418,-5.8,-5.6
609,'2018/02/09 15:31:03:808',14,57,418,-5.8,-5.6
610,'2018/02/09 15:31:03:824',14,57,418,-5.8,-5.6
611,'2018/02/09 15:31:03:840',14,57,418,-5.8,-5.6
612,'2018/02/09 15:31:03:857',14,57,418,-5.8,-5.6
613,'2018/02/09 15:31:03:874',14,57,418,-5.8,-5.6
614,'2018/02/09 15:31:03:890',14,57,418,-5.8,-5.6
615,'2018/02/09 15:31:03:907',14,57,418,-5.8,-5.6
616,'2018/02/09 15:31:03:924',14,57,418,-5.8,-5.6
617,'2018/02/09 15:31:03:940',14,57,418,-5.8,-5.6
618,'2018/02/09 15:31:03:957',14,57,418,-5.8,-5.6
619,'2018/02/09 15:31:03:974',14,57,418,-5.8,-5.6
620,'2018/02/09 15:31:03:990',14,57,418,-5.8,-5.6
621,'2018/02/09 15:31:04:007',14,57,418,-5.8,-5.6
622,'2018/02/09 15:31:04:024',14,57,418,-5.8,-5.6
623,'2018/02/09 15:31:04:041',14,57,418,-5.8,-5.6
624,'2018/02/09 15:31:04:058',14,57,418,-5.8,-5.6
625,'2018/02/09 15:31:04:074',14,57,418,-5.8,-5.6
626,'2018/02/09 15:31:20:157',15,53,142,-5.6,5.2
627,'2018/02/09 15:31:20:174',15,53,142,-5.6,5.2
628,'2018/02/09 15:31:20:188',15,53,142,-5.6,5.2
629,'2018/02/09 15:31:20:205',15,53,142,-5.6,5.2
630,'2018/02/09 15:31:20:222',15,53,142,-5.6,5.2
631,'2018/02/09 15:31:20:238',15,53,142,-5.6,5.2
632,'2018/02/09 15:31:20:254',15,53,142,-5.6,5.2
633,'2018/02/09 15:31:20:271',15,53,142,-5.6,5.2
634,'2018/02/09 15:31:20:287',15,53,142,-5.6,5.2
635,'2018/02/09 15:31:20:304',15,53,142,-5.6,5.2
636,'2018/02/09 15:31:20:321',15,53,142,-5.6,5.2
637,'2018/02/09 15:31:20:337',15,53,142,-5.6,5.2
638,'2018/02/09 15:31:20:353',15,53,142,-5.6,5.2
639,'2018/02/09 15:31:20:370',15,53,142,-5.6,5.2
640,'2018/02/09 15:31:20:385',15,53,142,-5.6,5.2
641,'2018/02/09 15:31:20:404',15,53,142,-5.6,5.2
642,'2018/02/09 15:31:20:420',15,53,142,-5.6,5.2
643,'2018/02/09 15:31:20:437',15,53,142,-5.6,5.2
644,'2018/02/09 15:31:20:454',15,53,142,-5.6,5.2
645,'2018/02/09 15:31:20:470',15,53,142,-5.6,5.2
646,'2018/02/09 15:31:20:487',15,53,142,-5.6,5.2
647,'2018/02/09 15:31:20:503',15,53,142,-5.6,5.2
648,'2018/02/09 15:31:20:521',15,53,142,-5.6,5.2
649,'2018/02/09 15:31:20:537',15,53,142,-5.6,5.2
650,'2018/02/09 15:31:20:553',15,53,142,-5.6,5.2
651,'2018/02/09 15:31:20:570',15,53,142,-5.6,5.2
652,'2018/02/09 15:31:20:587',15,53,142,-5.6,5.2
653,'2018/02/09 15:31:20:603',15,53,142,-5.6,5.2
654,'2018/02/09 15:31:20:620',15,53,142,-5.6,5.2
655,'2018/02/09 15:31:20:636',15,53,142,-5.6,5.2
656,'2018/02/09 15:31:20:653',15,53,142,-5.6,5.2
657,'2018/02/09 15:31:20:670',15,53,142,-5.6,5.2
658,'2018/02/09 15:31:20:687',15,53,142,-5.6,5.2
659,'2018/02/09 15:31:20:703',15,53,142,-5.6,5.2
660,'2018/02/09 15:31:20:720',15,53,142,-5.6,5.2
661,'2018/02/09 15:31:20:737',15,53,142,-5.6,5.2
662,'2018/02/09 15:31:20:753',15,53,142,-5.6,5.2
663,'2018/02/09 15:31:20:770',15,53,142,-5.6,5.2
664,'2018/02/09 15:31:20:787',15,53,142,-5.6,5.2
665,'2018/02/09 15:31:20:803',15,53,142,-5.6,5.2
666,'2018/02/09 15:31:20:820',15,53,142,-5.6,5.2
667,'2018/02/09 15:31:20:837',15,53,142,-5.6,5.2
668,'2018/02/09 15:31:20:854',15,53,142,-5.6,5.2
669,'2018/02/09 15:31:36:017',16,563,146,6.4,5.2
670,'2018/02/09 15:31:36:032',16,563,146,6.4,5.2
671,'2018/02/09 15:31:36:050',16,563,146,6.4,5.2
672,'2018/02/09 15:31:36:067',16,563,146,6.4,5.2
673,'2018/02/09 15:31:36:083',16,563,146,6.4,5.2
674,'2018/02/09 15:31:36:099',16,563,146,6.4,5.2
675,'2018/02/09 15:31:36:116',16,563,146,6.4,5.2
676,'2018/02/09 15:31:36:133',16,563,146,6.4,5.2
677,'2018/02/09 15:31:36:150',16,563,146,6.4,5.2
678,'2018/02/09 15:31:36:166',16,563,146,6.4,5.2
679,'2018/02/09 15:31:36:182',16,563,146,6.4,5.2
680,'2018/02/09 15:31:36:200',16,563,146,6.4,5.2
681,'2018/02/09 15:31:36:216',16,563,146,6.4,5.2
682,'2018/02/09 15:31:36:232',16,563,146,6.4,5.2
683,'2018/02/09 15:31:36:249',16,563,146,6.4,5.2
684,'2018/02/09 15:31:36:265',16,563,146,6.4,5.2
685,'2018/02/09 15:31:36:282',16,563,146,6.4,5.2
686,'2018/02/09 15:31:36:299',16,563,146,6.4,5.2
687,'2018/02/09 15:31:36:316',16,563,146,6.4,5.2
688,'2018/02/09 15:31:36:332',16,563,146,6.4,5.2
689,'2018/02/09 15:31:36:350',16,563,146,6.4,5.2
690,'2018/02/09 15:31:36:367',16,563,146,6.4,5.2
691,'2018/02/09 15:31:36:383',16,563,146,6.4,5.2
692,'2018/02/09 15:31:36:398',16,563,146,6.4,5.2
693,'2018/02/09 15:31:36:416',16,563,146,6.4,5.2
694,'2018/02/09 15:31:36:432',16,563,146,6.4,5.2
695,'2018/02/09 15:31:36:448',16,563,146,6.4,5.2
696,'2018/02/09 15:31:36:465',16,563,146,6.4,5.2
697,'2018/02/09 15:31:36:483',16,563,146,6.4,5.2
698,'2018/02/09 15:31:36:500',16,563,146,6.4,5.2
699,'2018/02/09 15:31:36:516',16,563,146,6.4,5.2
700,'2018/02/09 15:31:36:531',16,563,146,6.4,5.2
701,'2018/02/09 15:31:36:549',16,563,146,6.4,5.2
702,'2018/02/09 15:31:36:565',16,563,146,6.4,5.2
703,'2018/02/09 15:31:36:582',16,563,146,6.4,5.2
704,'2018/02/09 15:31:36:598',16,563,146,6.4,5.2
705,'2018/02/09 15:31:36:616',16,563,146,6.4,5.2
706,'2018/02/09 15:31:36:631',16,563,146,6.4,5.2
707,'2018/02/09 15:31:36:649',16,563,146,6.4,5.2
708,'2018/02/09 15:31:36:664',16,563,146,6.4,5.2
709,'2018/02/09 15:31:36:681',16,563,146,6.4,5.2
710,'2018/02/09 15:31:36:699',16,563,146,6.4,5.2
711,'2018/02/09 15:31:36:716',16,563,146,6.4,5.2
712,'2018/02/09 15:31:36:731',16,563,146,6.4,5.2
713,'2018/02/09 15:31:36:750',16,563,146,6.4,5.2
714,'2018/02/09 15:31:36:766',16,563,146,6.4,5.2
715,'2018/02/09 15:31:36:782',16,563,146,6.4,5.2
716,'2018/02/09 15:31:36:798',16,563,146,6.4,5.2
717,'2018/02/09 15:31:36:816',16,563,146,6.4,5.2
718,'2018/02/09 15:31:36:831',16,563,146,6.4,5.2
719,'2018/02/09 15:31:36:850',16,563,146,6.4,5.2
720,'2018/02/09 15:31:36:866',16,563,146,6.4,5.2
721,'2018/02/09 15:31:36:882',16,563,146,6.4,5.2
722,'2018/02/09 15:31:36:899',16,563,146,6.4,5.2
723,'2018/02/09 15:31:36:916',16,563,146,6.4,5.2
724,'2018/02/09 15:31:36:933',16,563,146,6.4,5.2
725,'2018/02/09 15:31:36:948',16,563,146,6.4,5.2
726,'2018/02/09 15:31:36:967',16,563,146,6.4,5.2
727,'2018/02/09 15:31:36:983',16,563,146,6.4,5.2
728,'2018/02/09 15:31:43:230',17,576,422,6.4,-5.8
729,'2018/02/09 15:31:43:248',17,576,422,6.4,-5.8
730,'2018/02/09 15:31:43:264',17,576,422,6.4,-5.8
731,'2018/02/09 15:31:43:280',17,576,422,6.4,-5.8
732,'2018/02/09 15:31:43:298',17,576,422,6.4,-5.8
733,'2018/02/09 15:31:43:315',17,576,422,6.4,-5.8
734,'2018/02/09 15:31:43:330',17,576,422,6.4,-5.8
735,'2018/02/09 15:31:43:348',17,576,422,6.4,-5.8
736,'2018/02/09 15:31:43:365',17,576,422,6.4,-5.8
737,'2018/02/09 15:31:43:381',17,576,422,6.4,-5.8
738,'2018/02/09 15:31:43:399',17,576,422,6.4,-5.8
739,'2018/02/09 15:31:43:416',17,576,422,6.4,-5.8
740,'2018/02/09 15:31:43:432',17,576,422,6.4,-5.8
741,'2018/02/09 15:31:43:448',17,576,422,6.4,-5.8
742,'2018/02/09 15:31:43:465',17,576,422,6.4,-5.8
743,'2018/02/09 15:31:43:482',17,576,422,6.4,-5.8
744,'2018/02/09 15:31:43:498',17,576,422,6.4,-5.8
745,'2018/02/09 15:31:43:514',17,576,422,6.4,-5.8
746,'2018/02/09 15:31:43:530',17,576,422,6.4,-5.8
747,'2018/02/09 15:31:43:547',17,576,422,6.4,-5.8
748,'2018/02/09 15:31:43:564',17,576,422,6.4,-5.8
749,'2018/02/09 15:31:43:580',17,576,422,6.4,-5.8
750,'2018/02/09 15:31:43:599',17,576,422,6.4,-5.8
751,'2018/02/09 15:31:43:618',17,576,422,6.4,-5.8
752,'2018/02/09 15:31:43:631',17,576,422,6.4,-5.8
753,'2018/02/09 15:31:43:648',17,576,422,6.4,-5.8
754,'2018/02/09 15:31:43:665',17,576,422,6.4,-5.8
755,'2018/02/09 15:31:43:681',17,576,422,6.4,-5.8
756,'2018/02/09 15:31:43:699',17,576,422,6.4,-5.8
757,'2018/02/09 15:31:43:715',17,576,422,6.4,-5.8
758,'2018/02/09 15:31:43:731',17,576,422,6.4,-5.8
759,'2018/02/09 15:31:43:747',17,576,422,6.4,-5.8
760,'2018/02/09 15:31:43:765',17,576,422,6.4,-5.8
761,'2018/02/09 15:31:43:780',17,576,422,6.4,-5.8
762,'2018/02/09 15:31:43:798',17,576,422,6.4,-5.8
763,'2018/02/09 15:31:43:814',17,576,422,6.4,-5.8
764,'2018/02/09 15:31:43:830',17,576,422,6.4,-5.8
765,'2018/02/09 15:31:43:847',17,576,422,6.4,-5.8
766,'2018/02/09 15:31:43:864',17,576,422,6.4,-5.8
767,'2018/02/09 15:31:43:881',17,576,422,6.4,-5.8
768,'2018/02/09 15:31:43:897',17,576,422,6.4,-5.8
769,'2018/02/09 15:31:43:914',17,576,422,6.4,-5.8
770,'2018/02/09 15:31:43:931',17,576,422,6.4,-5.8
