@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
110,'2018/02/09 15:22:18:102',2,597,261,?,?
111,'2018/02/09 15:22:18:120',2,597,261,?,?
112,'2018/02/09 15:22:18:137',2,597,261,?,?
113,'2018/02/09 15:22:18:153',2,597,261,?,?
114,'2018/02/09 15:22:18:171',2,597,261,?,?
115,'2018/02/09 15:22:18:187',2,597,261,?,?
116,'2018/02/09 15:22:18:203',2,597,261,?,?
117,'2018/02/09 15:22:18:219',2,597,261,?,?
118,'2018/02/09 15:22:18:237',2,597,261,?,?
119,'2018/02/09 15:22:36:352',3,597,261,?,?
120,'2018/02/09 15:22:36:369',3,597,261,?,?
121,'2018/02/09 15:22:36:386',3,597,261,?,?
122,'2018/02/09 15:22:36:402',3,597,261,?,?
123,'2018/02/09 15:22:36:419',3,597,261,?,?
124,'2018/02/09 15:22:36:435',3,597,261,?,?
125,'2018/02/09 15:22:36:451',3,597,261,?,?
126,'2018/02/09 15:22:36:467',3,597,261,?,?
127,'2018/02/09 15:22:36:484',3,597,261,?,?
128,'2018/02/09 15:22:36:501',3,597,261,?,?
129,'2018/02/09 15:22:36:516',3,597,261,?,?
130,'2018/02/09 15:22:36:533',3,597,261,?,?
131,'2018/02/09 15:22:36:549',3,597,261,?,?
132,'2018/02/09 15:22:36:564',3,597,261,?,?
133,'2018/02/09 15:22:36:582',3,597,261,?,?
134,'2018/02/09 15:22:36:598',3,597,261,?,?
135,'2018/02/09 15:22:36:615',3,597,261,?,?
136,'2018/02/09 15:22:36:631',3,597,261,?,?
137,'2018/02/09 15:22:36:649',3,597,261,?,?
138,'2018/02/09 15:22:36:664',3,597,261,?,?
139,'2018/02/09 15:22:36:682',3,597,261,?,?
140,'2018/02/09 15:22:36:698',3,597,261,?,?
141,'2018/02/09 15:22:36:718',3,597,261,?,?
142,'2018/02/09 15:22:36:734',3,597,261,?,?
143,'2018/02/09 15:22:36:749',3,597,261,?,?
144,'2018/02/09 15:22:36:765',3,597,261,?,?
145,'2018/02/09 15:22:36:782',3,597,261,?,?
146,'2018/02/09 15:22:36:798',3,597,261,?,?
147,'2018/02/09 15:22:36:815',3,597,261,?,?
148,'2018/02/09 15:22:36:831',3,597,261,?,?
149,'2018/02/09 15:22:36:848',3,597,261,?,?
150,'2018/02/09 15:22:36:864',3,597,261,?,?
151,'2018/02/09 15:22:36:881',3,597,261,?,?
152,'2018/02/09 15:22:36:902',3,597,261,?,?
153,'2018/02/09 15:22:36:918',3,597,261,?,?
154,'2018/02/09 15:22:36:934',3,597,261,?,?
155,'2018/02/09 15:22:36:950',3,597,261,?,?
156,'2018/02/09 15:22:36:967',3,597,261,?,?
157,'2018/02/09 15:22:36:983',3,597,261,?,?
158,'2018/02/09 15:22:37:000',3,597,261,?,?
159,'2018/02/09 15:22:37:015',3,597,261,?,?
160,'2018/02/09 15:22:37:032',3,597,261,?,?
161,'2018/02/09 15:22:37:049',3,597,261,?,?
162,'2018/02/09 15:22:37:064',3,597,261,?,?
163,'2018/02/09 15:22:37:081',3,597,261,?,?
164,'2018/02/09 15:22:37:097',3,597,261,?,?
165,'2018/02/09 15:22:37:115',3,597,261,?,?
166,'2018/02/09 15:22:37:130',3,597,261,?,?
167,'2018/02/09 15:22:37:148',3,597,261,?,?
168,'2018/02/09 15:22:37:164',3,597,261,?,?
169,'2018/02/09 15:22:37:181',3,597,261,?,?
170,'2018/02/09 15:22:37:198',3,597,261,?,?
171,'2018/02/09 15:22:37:220',3,597,261,?,?
172,'2018/02/09 15:22:37:235',3,597,261,?,?
173,'2018/02/09 15:22:37:252',3,597,261,?,?
174,'2018/02/09 15:22:37:267',3,597,261,?,?
175,'2018/02/09 15:22:37:283',3,597,261,?,?
176,'2018/02/09 15:22:37:299',3,597,261,?,?
177,'2018/02/09 15:22:37:315',3,597,261,?,?
178,'2018/02/09 15:22:37:332',3,597,261,?,?
179,'2018/02/09 15:22:37:348',3,597,261,?,?
180,'2018/02/09 15:23:02:033',4,282,106,?,?
181,'2018/02/09 15:23:02:049',4,282,106,?,?
182,'2018/02/09 15:23:02:066',4,282,106,?,?
183,'2018/02/09 15:23:02:082',4,282,106,?,?
184,'2018/02/09 15:23:02:099',4,282,106,?,?
185,'2018/02/09 15:23:02:115',4,282,106,?,?
186,'2018/02/09 15:23:02:132',4,282,106,?,?
187,'2018/02/09 15:23:02:149',4,282,106,?,?
188,'2018/02/09 15:23:02:166',4,282,106,?,?
189,'2018/02/09 15:23:02:181',4,282,106,?,?
190,'2018/02/09 15:23:02:198',4,282,106,?,?
191,'2018/02/09 15:23:02:213',4,282,106,?,?
192,'2018/02/09 15:23:02:230',4,282,106,?,?
193,'2018/02/09 15:23:02:247',4,282,106,?,?
194,'2018/02/09 15:23:02:263',4,282,106,?,?
195,'2018/02/09 15:23:02:278',4,282,106,?,?
196,'2018/02/09 15:23:02:295',4,282,106,?,?
197,'2018/02/09 15:23:02:311',4,282,106,?,?
198,'2018/02/09 15:23:02:328',4,282,106,?,?
199,'2018/02/09 15:23:02:343',4,282,106,?,?
200,'2018/02/09 15:23:02:360',4,282,106,?,?
201,'2018/02/09 15:23:02:376',4,282,106,?,?
202,'2018/02/09 15:23:02:393',4,282,106,?,?
203,'2018/02/09 15:23:02:412',4,282,106,?,?
204,'2018/02/09 15:23:02:429',4,282,106,?,?
205,'2018/02/09 15:23:02:443',4,282,106,?,?
206,'2018/02/09 15:23:02:461',4,282,106,?,?
207,'2018/02/09 15:23:02:475',4,282,106,?,?
208,'2018/02/09 15:23:02:492',4,282,106,?,?
209,'2018/02/09 15:23:02:508',4,282,106,?,?
210,'2018/02/09 15:23:02:526',4,282,106,?,?
211,'2018/02/09 15:23:02:542',4,282,106,?,?
212,'2018/02/09 15:23:02:560',4,282,106,?,?
213,'2018/02/09 15:23:02:575',4,282,106,?,?
214,'2018/02/09 15:23:02:592',4,282,106,?,?
215,'2018/02/09 15:23:02:609',4,282,106,?,?
216,'2018/02/09 15:23:02:625',4,282,106,?,?
217,'2018/02/09 15:23:02:642',4,282,106,?,?
218,'2018/02/09 15:23:02:659',4,282,106,?,?
219,'2018/02/09 15:23:02:676',4,282,106,?,?
220,'2018/02/09 15:23:02:692',4,282,106,?,?
221,'2018/02/09 15:23:02:708',4,282,106,?,?
222,'2018/02/09 15:23:02:726',4,282,106,?,?
223,'2018/02/09 15:23:02:742',4,282,106,?,?
224,'2018/02/09 15:23:02:759',4,282,106,?,?
225,'2018/02/09 15:23:02:776',4,282,106,?,?
226,'2018/02/09 15:23:02:806',4,282,106,?,?
227,'2018/02/09 15:23:02:809',4,282,106,?,?
228,'2018/02/09 15:23:02:825',4,282,106,?,?
229,'2018/02/09 15:23:02:842',4,282,106,?,?
230,'2018/02/09 15:23:02:860',4,282,106,?,?
231,'2018/02/09 15:23:02:875',4,282,106,?,?
232,'2018/02/09 15:23:02:891',4,282,106,?,?
233,'2018/02/09 15:23:02:908',4,282,106,?,?
234,'2018/02/09 15:23:02:931',4,282,106,?,?
235,'2018/02/09 15:23:02:946',4,282,106,?,?
236,'2018/02/09 15:23:02:963',4,282,106,?,?
237,'2018/02/09 15:23:02:979',4,282,106,?,?
238,'2018/02/09 15:23:02:996',4,282,106,?,?
239,'2018/02/09 15:23:03:013',4,282,106,?,?
240,'2018/02/09 15:23:03:029',4,282,106,?,?
241,'2018/02/09 15:23:03:044',4,282,106,?,?
242,'2018/02/09 15:23:03:062',4,282,106,?,?
243,'2018/02/09 15:23:03:077',4,282,106,?,?
244,'2018/02/09 15:23:03:093',4,282,106,?,?
245,'2018/02/09 15:23:16:405',5,341,438,?,?
246,'2018/02/09 15:23:16:422',5,341,438,?,?
247,'2018/02/09 15:23:16:439',5,341,438,?,?
248,'2018/02/09 15:23:16:456',5,341,438,?,?
249,'2018/02/09 15:23:16:471',5,341,438,?,?
250,'2018/02/09 15:23:16:488',5,341,438,?,?
251,'2018/02/09 15:23:16:506',5,341,438,?,?
252,'2018/02/09 15:23:16:521',5,341,438,?,?
253,'2018/02/09 15:23:16:539',5,341,438,?,?
254,'2018/02/09 15:23:16:556',5,341,438,?,?
255,'2018/02/09 15:23:16:571',5,341,438,?,?
256,'2018/02/09 15:23:16:589',5,341,438,?,?
257,'2018/02/09 15:23:16:605',5,341,438,?,?
258,'2018/02/09 15:23:16:621',5,341,438,?,?
259,'2018/02/09 15:23:16:639',5,341,438,?,?
260,'2018/02/09 15:23:16:656',5,341,438,?,?
261,'2018/02/09 15:23:16:673',5,341,438,?,?
262,'2018/02/09 15:23:16:689',5,341,438,?,?
263,'2018/02/09 15:23:16:710',5,341,438,?,?
