@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute eye-model-x numeric
@attribute eye-model-y numeric
@attribute region-classifier {0,1,2,3,4}

@data
467,'2018/02/16 22:33:41:642',15,-29.631313,662.31012,0,?,?
468,'2018/02/16 22:33:42:142',15,-62.427029,315.122498,0,?,?
469,'2018/02/16 22:33:42:643',15,-97.341309,183.24054,0,?,?
470,'2018/02/16 22:33:43:144',15,-55.619541,142.94194,0,?,?
471,'2018/02/16 22:33:43:654',15,-95.024323,162.15921,0,?,?
472,'2018/02/16 22:33:44:158',15,-52.248451,437.825073,0,?,?
473,'2018/02/16 22:33:44:658',15,21.663918,917.333008,0,?,?
474,'2018/02/16 22:33:45:163',15,-50.273727,1044.174438,0,?,?
475,'2018/02/16 22:33:45:666',15,-26.466551,693.852539,0,?,?
476,'2018/02/16 22:33:46:169',15,-63.150864,311.403412,0,?,?
477,'2018/02/16 22:33:46:673',15,-69.991447,90.823639,0,?,?
478,'2018/02/16 22:33:47:173',15,-98.010117,675.362671,0,?,?
479,'2018/02/16 22:33:47:675',15,-37.416611,981.32843,0,?,?
480,'2018/02/16 22:33:48:205',15,396.959625,290.634979,0,?,?
481,'2018/02/16 22:33:58:270',16,1930.071655,575.898743,1,?,?
482,'2018/02/16 22:33:58:837',16,1952.892944,828.680176,1,?,?
483,'2018/02/16 22:33:59:343',16,1932.758423,1012.339294,1,?,?
484,'2018/02/16 22:33:59:845',16,1959.467529,770.214783,1,?,?
485,'2018/02/16 22:34:00:377',16,1976.029663,411.899506,1,?,?
486,'2018/02/16 22:34:00:878',16,1974.848267,225.69368,1,?,?
487,'2018/02/16 22:34:01:379',16,1995.793701,64.405739,1,?,?
488,'2018/02/16 22:34:01:881',16,1997.027466,71.53138,1,?,?
489,'2018/02/16 22:34:02:383',16,1985.652344,18.166666,1,?,?
490,'2018/02/16 22:34:02:900',16,1959.824219,234.095016,1,?,?
491,'2018/02/16 22:34:03:410',16,1952.190186,370.097687,1,?,?
492,'2018/02/16 22:34:03:912',16,1956.371582,440.797577,1,?,?
493,'2018/02/16 22:34:04:413',16,1965.550415,731.414368,1,?,?
494,'2018/02/16 22:34:04:915',16,1970.800903,777.233459,1,?,?
495,'2018/02/16 22:34:05:420',16,1943.18689,995.087891,1,?,?
496,'2018/02/16 22:34:05:923',16,1951.489258,849.079834,1,?,?
497,'2018/02/16 22:34:06:425',16,1967.656616,614.656799,1,?,?
498,'2018/02/16 22:34:06:926',16,1990.838013,269.755676,1,?,?
499,'2018/02/16 22:34:07:427',16,1997.006592,149.479584,1,?,?
500,'2018/02/16 22:34:07:927',16,1993.628296,33.158585,1,?,?
501,'2018/02/16 22:34:08:429',16,1987.819824,31.916353,1,?,?
502,'2018/02/16 22:34:08:929',16,1944.182861,301.631012,1,?,?
503,'2018/02/16 22:34:09:431',16,1970.407471,275.780579,1,?,?
504,'2018/02/16 22:34:09:934',16,1974.184448,34.348946,1,?,?
505,'2018/02/16 22:34:10:435',16,2015.882935,218.689728,1,?,?
506,'2018/02/16 22:34:10:939',16,1948.355225,596.237183,1,?,?
507,'2018/02/16 22:34:11:441',16,1954.37207,927.786499,1,?,?
508,'2018/02/16 22:34:11:944',16,1974.582642,1029.800659,1,?,?
509,'2018/02/16 22:34:12:445',16,1947.738159,405.082214,1,?,?
510,'2018/02/16 22:34:12:947',16,1970.992065,82.852066,1,?,?
511,'2018/02/16 22:34:13:447',16,2010.831543,5.007452,1,?,?
512,'2018/02/16 22:34:13:948',16,1994.672241,530.815735,1,?,?
513,'2018/02/16 22:34:14:450',16,1955.626221,747.190369,1,?,?
514,'2018/02/16 22:34:14:961',16,1968.398682,954.588867,1,?,?
515,'2018/02/16 22:34:15:464',16,1955.692139,1031.725952,1,?,?
516,'2018/02/16 22:34:15:979',16,1966.548584,671.63916,1,?,?
517,'2018/02/16 22:34:16:479',16,1989.356445,260.000275,1,?,?
518,'2018/02/16 22:34:16:980',16,2003.712646,71.791489,1,?,?
519,'2018/02/16 22:34:17:488',16,1987.799683,60.681793,1,?,?
