@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute eye-model-x numeric
@attribute eye-model-y numeric
@attribute region-classifier {0,1,2,3,4}

@data
85,'2018/02/16 22:26:40:829',3,953.307861,500.047699,?,?,2
86,'2018/02/16 22:26:41:332',3,1189.476929,243.111099,?,?,2
87,'2018/02/16 22:26:41:833',3,1010.624023,41.866611,?,?,2
88,'2018/02/16 22:26:42:334',3,949.867065,282.348053,?,?,2
89,'2018/02/16 22:26:42:835',3,890.463379,31.138216,?,?,2
90,'2018/02/16 22:26:43:336',3,1236.296509,336.174957,?,?,2
91,'2018/02/16 22:26:43:836',3,1170.093872,147.305084,?,?,2
92,'2018/02/16 22:26:44:344',3,1202.697388,29.090994,?,?,2
93,'2018/02/16 22:26:44:845',3,1401.628906,118.095848,?,?,2
94,'2018/02/16 22:26:45:346',3,1790.735474,303.19812,?,?,2
95,'2018/02/16 22:26:45:847',3,1785.694702,373.462067,?,?,2
96,'2018/02/16 22:26:46:347',3,1723.514038,455.2854,?,?,2
97,'2018/02/16 22:26:46:848',3,1782.853394,542.059326,?,?,2
98,'2018/02/16 22:26:47:356',3,1878.625122,62.007458,?,?,2
99,'2018/02/16 22:26:47:858',3,1649.491455,321.686462,?,?,2
100,'2018/02/16 22:26:48:360',3,1748.291626,236.910706,?,?,2
101,'2018/02/16 22:26:48:862',3,1715.387817,9.291963,?,?,2
102,'2018/02/16 22:26:49:364',3,1269.472534,373.461334,?,?,2
103,'2018/02/16 22:26:49:864',3,962.312134,498.83313,?,?,2
104,'2018/02/16 22:26:50:366',3,1067.15918,573.712402,?,?,2
105,'2018/02/16 22:26:50:876',3,1623.505371,554.394714,?,?,2
106,'2018/02/16 22:26:51:376',3,926.894714,565.992981,?,?,2
107,'2018/02/16 22:26:51:877',3,942.448975,338.705292,?,?,2
108,'2018/02/16 22:26:52:378',3,930.214417,99.008888,?,?,2
109,'2018/02/16 22:26:52:890',3,942.614807,477.14679,?,?,2
110,'2018/02/16 22:26:53:391',3,1244.872437,530.833984,?,?,2
111,'2018/02/16 22:26:53:893',3,1521.036133,517.790771,?,?,2
112,'2018/02/16 22:26:54:394',3,1654.176636,295.582062,?,?,2
113,'2018/02/16 22:26:54:894',3,1227.754883,166.545105,?,?,2
114,'2018/02/16 22:26:55:398',3,1745.264404,220.135788,?,?,2
115,'2018/02/16 22:26:55:904',3,1714.54834,238.188034,?,?,2
116,'2018/02/16 22:26:56:405',3,1714.54834,238.188034,?,?,2
117,'2018/02/16 22:26:56:906',3,1338.843384,270.033722,?,?,2
118,'2018/02/16 22:26:57:410',3,1150.901855,356.268616,?,?,2
119,'2018/02/16 22:26:57:925',3,965.472351,112.928902,?,?,2
120,'2018/02/16 22:26:58:426',3,1230.156128,223.03804,?,?,2
121,'2018/02/16 22:26:58:937',3,1636.824097,63.134064,?,?,2
122,'2018/02/16 22:26:59:438',3,1100.883057,149.384201,?,?,2
123,'2018/02/16 22:26:59:947',3,908.625305,295.682617,?,?,2
124,'2018/02/16 22:27:00:453',3,1251.119507,502.332886,?,?,2
125,'2018/02/16 22:27:00:954',3,1614.073364,150.503296,?,?,2
126,'2018/02/16 22:27:01:456',3,1708.947876,370.542908,?,?,2
127,'2018/02/16 22:27:01:959',3,1084.05127,377.059052,?,?,2
128,'2018/02/16 22:27:02:465',3,921.631714,129.113876,?,?,2
129,'2018/02/16 22:27:02:974',3,1426.678711,163.233047,?,?,2
130,'2018/02/16 22:27:03:475',3,1625.934082,323.400665,?,?,2
131,'2018/02/16 22:27:03:976',3,1869.511475,253.843353,?,?,2
132,'2018/02/16 22:27:04:477',3,912.298584,256.088318,?,?,2
133,'2018/02/16 22:27:04:988',3,1584.837891,107.554062,?,?,2
134,'2018/02/16 22:27:23:676',4,163.476608,795.315796,?,?,3
135,'2018/02/16 22:27:24:183',4,-70.192032,1034.09021,?,?,3
136,'2018/02/16 22:27:24:684',4,242.239395,1013.851746,?,?,3
137,'2018/02/16 22:27:25:186',4,793.547058,1007.10376,?,?,3
138,'2018/02/16 22:27:25:687',4,870.644592,815.074524,?,?,3
139,'2018/02/16 22:27:26:189',4,883.60614,636.043091,?,?,3
140,'2018/02/16 22:27:26:692',4,753.127991,651.634949,?,?,3
141,'2018/02/16 22:27:27:194',4,131.864166,658.527344,?,?,3
142,'2018/02/16 22:27:27:695',4,-14.658284,683.178589,?,?,3
143,'2018/02/16 22:27:28:199',4,11.620242,1019.196045,?,?,3
